127.0.0.1 - - [02/Jan/2023:06:24:53 +0900] "GET / HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:25 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:25 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:28 +0900] "GET /GetMapCtrl.do HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:28 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:28 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:28 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:30 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:31 +0900] "GET /GetMapCtrl.do HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:31 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:31 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:31 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:33 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:46:03 +0900] "GET /GetMainCtrl.do HTTP/1.1" 200 3234
